Name,Position,Height,Weight,Season,Age,Games_Played,Game_Started,Rush_Attempts,Rush_Yards,Rush_TDs,Fumbles,Targets,Receptions,Rec_Yards,Rec_TDs,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions,Sacked
0,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1996,22,16,14,307,1116,11,4,46,23,139,0,0,0,0,0,0,0
1,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1997,23,16,14,283,892,15,3,49,29,261,1,0,0,0,0,0,0
2,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1998,24,15,15,270,960,6,2,31,21,102,0,0,0,0,0,0,0
3,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1999,25,13,9,143,445,1,0,22,17,84,1,0,0,0,0,0,0
4,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1999,,10,6,115,350,0,0,16,13,59,1,0,0,0,0,0,0
5,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1999,,3,3,28,95,1,0,6,4,25,0,0,0,0,0,0,0
6,"
Karim Abdul-Jabbar
",RB,5-10,194lb,2000,26,1,0,1,-2,0,0,,,,0,0,0,0,0,0,0
7,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1997,23,1,0,5,16,0,0,,,,0,0,0,0,0,0,0
8,"
Karim Abdul-Jabbar
",RB,5-10,194lb,1998,24,2,1,30,100,1,0,3,3,9,0,0,0,0,0,0,0
9,"
Rabih Abdullah
",RB,6-0,220lb,1999,24,15,1,5,12,0,0,3,2,11,0,0,0,0,0,0,0
10,"
Rabih Abdullah
",RB,6-0,220lb,2000,25,12,0,16,70,0,0,2,2,14,0,0,0,0,0,0,0
11,"
Rabih Abdullah
",RB,6-0,220lb,2001,26,16,0,11,40,0,0,2,2,26,0,0,0,0,0,0,0
12,"
Rabih Abdullah
",RB,6-0,220lb,2002,27,16,0,,,0,1,,,,0,0,0,0,0,0,0
